C000  4C F5 C5  JMP $C5F5                       A:00 X:00 Y:00 P:24 SP:FD CYC:  0
C5F5  A2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:FD CYC:  9
C5F7  86 00     STX $00 = 00                    A:00 X:00 Y:00 P:26 SP:FD CYC: 15
C72A  D0 E0     BNE                             A:CB X:04 Y:4F P:6D SP:F1 CYC:117
C70C  68        PLA                             A:CB X:04 Y:4F P:6D SP:F1 CYC:126
C70D  C9 55     CMP #$55                        A:AA X:04 Y:4F P:ED SP:F2 CYC:138
C70F  F0 0A     BEQ                             A:AA X:04 Y:4F P:6D SP:F2 CYC:144
C711  C9 AA     CMP #$AA                        A:AA X:04 Y:4F P:6D SP:F2 CYC:150
C713  F0 06     BEQ                             A:AA X:04 Y:4F P:6F SP:F2 CYC:156
C71B  68        PLA                             A:AA X:04 Y:4F P:6F SP:F2 CYC:165
C71C  29 CB     AND #$CB                        A:EF X:04 Y:4F P:ED SP:F3 CYC:177
C71E  C9 00     CMP #$00                        A:CB X:04 Y:4F P:ED SP:F3 CYC:183
C720  F0 06     BEQ                             A:CB X:04 Y:4F P:ED SP:F3 CYC:189
C722  C9 CB     CMP #$CB                        A:CB X:04 Y:4F P:ED SP:F3 CYC:195
C724  F0 02     BEQ                             A:CB X:04 Y:4F P:6F SP:F3 CYC:201
C728  C8        INY                             A:CB X:04 Y:4F P:6F SP:F3 CYC:210
C729  CA        DEX                             A:CB X:04 Y:50 P:6D SP:F3 CYC:216
C72A  D0 E0     BNE                             A:CB X:03 Y:50 P:6D SP:F3 CYC:222
C70C  68        PLA                             A:CB X:03 Y:50 P:6D SP:F3 CYC:231
C70D  C9 55     CMP #$55                        A:AA X:03 Y:50 P:ED SP:F4 CYC:243
C70F  F0 0A     BEQ                             A:AA X:03 Y:50 P:6D SP:F4 CYC:249
C711  C9 AA     CMP #$AA                        A:AA X:03 Y:50 P:6D SP:F4 CYC:255
C713  F0 06     BEQ                             A:AA X:03 Y:50 P:6F SP:F4 CYC:261
C71B  68        PLA                             A:AA X:03 Y:50 P:6F SP:F4 CYC:270
C71C  29 CB     AND #$CB                        A:EF X:03 Y:50 P:ED SP:F5 CYC:282
C71E  C9 00     CMP #$00                        A:CB X:03 Y:50 P:ED SP:F5 CYC:288
C720  F0 06     BEQ                             A:CB X:03 Y:50 P:ED SP:F5 CYC:294
C722  C9 CB     CMP #$CB                        A:CB X:03 Y:50 P:ED SP:F5 CYC:300
C724  F0 02     BEQ                             A:CB X:03 Y:50 P:6F SP:F5 CYC:306
C728  C8        INY                             A:CB X:03 Y:50 P:6F SP:F5 CYC:315
C729  CA        DEX                             A:CB X:03 Y:51 P:6D SP:F5 CYC:321
C72A  D0 E0     BNE                             A:CB X:02 Y:51 P:6D SP:F5 CYC:327
C70C  68        PLA                             A:CB X:02 Y:51 P:6D SP:F5 CYC:336
C70D  C9 55     CMP #$55                        A:AA X:02 Y:51 P:ED SP:F6 CYC:  7
C70F  F0 0A     BEQ                             A:AA X:02 Y:51 P:6D SP:F6 CYC: 13
C711  C9 AA     CMP #$AA                        A:AA X:02 Y:51 P:6D SP:F6 CYC: 19
C713  F0 06     BEQ                             A:AA X:02 Y:51 P:6F SP:F6 CYC: 25
C71B  68        PLA                             A:AA X:02 Y:51 P:6F SP:F6 CYC: 34
C71C  29 CB     AND #$CB                        A:EF X:02 Y:51 P:ED SP:F7 CYC: 46
C71E  C9 00     CMP #$00                        A:CB X:02 Y:51 P:ED SP:F7 CYC: 52
C720  F0 06     BEQ                             A:CB X:02 Y:51 P:ED SP:F7 CYC: 58
C722  C9 CB     CMP #$CB                        A:CB X:02 Y:51 P:ED SP:F7 CYC: 64
C724  F0 02     BEQ                             A:CB X:02 Y:51 P:6F SP:F7 CYC: 70
C728  C8        INY                             A:CB X:02 Y:51 P:6F SP:F7 CYC: 79
C729  CA        DEX                             A:CB X:02 Y:52 P:6D SP:F7 CYC: 85
C72A  D0 E0     BNE                             A:CB X:01 Y:52 P:6D SP:F7 CYC: 91
C70C  68        PLA                             A:CB X:01 Y:52 P:6D SP:F7 CYC:100
C70D  C9 55     CMP #$55                        A:AA X:01 Y:52 P:ED SP:F8 CYC:112
C70F  F0 0A     BEQ                             A:AA X:01 Y:52 P:6D SP:F8 CYC:118
C711  C9 AA     CMP #$AA                        A:AA X:01 Y:52 P:6D SP:F8 CYC:124
C713  F0 06     BEQ                             A:AA X:01 Y:52 P:6F SP:F8 CYC:130
C71B  68        PLA                             A:AA X:01 Y:52 P:6F SP:F8 CYC:139
C71C  29 CB     AND #$CB                        A:EF X:01 Y:52 P:ED SP:F9 CYC:151
C71E  C9 00     CMP #$00                        A:CB X:01 Y:52 P:ED SP:F9 CYC:157
C720  F0 06     BEQ                             A:CB X:01 Y:52 P:ED SP:F9 CYC:163
C722  C9 CB     CMP #$CB                        A:CB X:01 Y:52 P:ED SP:F9 CYC:169
C724  F0 02     BEQ                             A:CB X:01 Y:52 P:6F SP:F9 CYC:175
C728  C8        INY                             A:CB X:01 Y:52 P:6F SP:F9 CYC:184
C729  CA        DEX                             A:CB X:01 Y:53 P:6D SP:F9 CYC:190
C72A  D0 E0     BNE                             A:CB X:00 Y:53 P:6F SP:F9 CYC:196
C72C  60 EA     RTS                             A:CB X:00 Y:53 P:6F SP:F9 CYC:202
C6AC  20 B7     JSR $C6B7                       A:CB X:00 Y:53 P:6F SP:FB CYC:220
C6B7  A9 34     LDA #$34                        A:CB X:00 Y:53 P:6F SP:F9 CYC:238
C6B9  48        PHA                             A:34 X:00 Y:53 P:6D SP:F9 CYC:244
C6BA  A9 55     LDA #$55                        A:34 X:00 Y:53 P:6D SP:F8 CYC:253
C6BC  28        PLP                             A:55 X:00 Y:53 P:6D SP:F8 CYC:259
C6BD  04 A9    *NOP $A9                         A:55 X:00 Y:53 P:24 SP:F9 CYC:271
C6BF  44 A9    *NOP $A9                         A:55 X:00 Y:53 P:24 SP:F9 CYC:280
C6C1  64 A9    *NOP $A9                         A:55 X:00 Y:53 P:24 SP:F9 CYC:289
C6C3  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F9 CYC:298
C6C4  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F9 CYC:304
C6C5  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F9 CYC:310
C6C6  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F9 CYC:316
C6C7  08        PHP                             A:55 X:00 Y:53 P:24 SP:F9 CYC:322
C6C8  48        PHA                             A:55 X:00 Y:53 P:24 SP:F8 CYC:331
C6C9  0C A9 A9 *NOP $A9A9                       A:55 X:00 Y:53 P:24 SP:F7 CYC:340
C6CC  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F7 CYC: 11
C6CD  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F7 CYC: 17
C6CE  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F7 CYC: 23
C6CF  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F7 CYC: 29
C6D0  08        PHP                             A:55 X:00 Y:53 P:24 SP:F7 CYC: 35
C6D1  48        PHA                             A:55 X:00 Y:53 P:24 SP:F6 CYC: 44
C6D2  14 A9    *NOP $A9,X                       A:55 X:00 Y:53 P:24 SP:F5 CYC: 53
C6D4  34 A9    *NOP $A9,X                       A:55 X:00 Y:53 P:24 SP:F5 CYC: 65
C6D6  54 A9    *NOP $A9,X                       A:55 X:00 Y:53 P:24 SP:F5 CYC: 77
C6D8  74 A9    *NOP $A9,X                       A:55 X:00 Y:53 P:24 SP:F5 CYC: 89
C6DA  D4 A9    *NOP $A9,X                       A:55 X:00 Y:53 P:24 SP:F5 CYC:101
C6DC  F4 A9    *NOP $A9,X                       A:55 X:00 Y:53 P:24 SP:F5 CYC:113
C6DE  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F5 CYC:125
C6DF  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F5 CYC:131
C6E0  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F5 CYC:137
C6E1  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F5 CYC:143
C6E2  08        PHP                             A:55 X:00 Y:53 P:24 SP:F5 CYC:149
C6E3  48        PHA                             A:55 X:00 Y:53 P:24 SP:F4 CYC:158
C6E4  1A       *NOP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:167
C6E5  3A       *NOP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:173
C6E6  5A       *NOP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:179
C6E7  7A       *NOP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:185
C6E8  DA       *NOP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:191
C6E9  FA       *NOP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:197
C6EA  80 89    *NOP #$89                        A:55 X:00 Y:53 P:24 SP:F3 CYC:203
C6EC  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:209
C6ED  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:215
C6EE  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:221
C6EF  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:227
C6F0  08        PHP                             A:55 X:00 Y:53 P:24 SP:F3 CYC:233
C6F1  48        PHA                             A:55 X:00 Y:53 P:24 SP:F2 CYC:242
C6F2  1C A9 A9 *NOP $A9A9,X                     A:55 X:00 Y:53 P:24 SP:F1 CYC:251
C6F5  3C A9 A9 *NOP $A9A9,X                     A:55 X:00 Y:53 P:24 SP:F1 CYC:263
C6F8  5C A9 A9 *NOP $A9A9,X                     A:55 X:00 Y:53 P:24 SP:F1 CYC:275
C6FB  7C A9 A9 *NOP $A9A9,X                     A:55 X:00 Y:53 P:24 SP:F1 CYC:287
C6FE  DC A9 A9 *NOP $A9A9,X                     A:55 X:00 Y:53 P:24 SP:F1 CYC:299
C701  FC A9 A9 *NOP $A9A9,X                     A:55 X:00 Y:53 P:24 SP:F1 CYC:311
C704  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F1 CYC:323
C705  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F1 CYC:329
C706  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F1 CYC:335
C707  EA        NOP                             A:55 X:00 Y:53 P:24 SP:F1 CYC:  0
C708  08        PHP                             A:55 X:00 Y:53 P:24 SP:F1 CYC:  6
C709  48        PHA                             A:55 X:00 Y:53 P:24 SP:F0 CYC: 15
C70A  A2 05     LDX #$05                        A:55 X:00 Y:53 P:24 SP:EF CYC: 24
C70C  68        PLA                             A:55 X:05 Y:53 P:24 SP:EF CYC: 30
C70D  C9 55     CMP #$55                        A:55 X:05 Y:53 P:24 SP:F0 CYC: 42
C70F  F0 0A     BEQ                             A:55 X:05 Y:53 P:27 SP:F0 CYC: 48
C71B  68        PLA                             A:55 X:05 Y:53 P:27 SP:F0 CYC: 57
C71C  29 CB     AND #$CB                        A:24 X:05 Y:53 P:25 SP:F1 CYC: 69
C71E  C9 00     CMP #$00                        A:00 X:05 Y:53 P:27 SP:F1 CYC: 75
C720  F0 06     BEQ                             A:00 X:05 Y:53 P:27 SP:F1 CYC: 81
C728  C8        INY                             A:00 X:05 Y:53 P:27 SP:F1 CYC: 90
C729  CA        DEX                             A:00 X:05 Y:54 P:25 SP:F1 CYC: 96
C72A  D0 E0     BNE                             A:00 X:04 Y:54 P:25 SP:F1 CYC:102
C70C  68        PLA                             A:00 X:04 Y:54 P:25 SP:F1 CYC:111
C70D  C9 55     CMP #$55                        A:55 X:04 Y:54 P:25 SP:F2 CYC:123
C70F  F0 0A     BEQ                             A:55 X:04 Y:54 P:27 SP:F2 CYC:129
C71B  68        PLA                             A:55 X:04 Y:54 P:27 SP:F2 CYC:138
C71C  29 CB     AND #$CB                        A:24 X:04 Y:54 P:25 SP:F3 CYC:150
C71E  C9 00     CMP #$00                        A:00 X:04 Y:54 P:27 SP:F3 CYC:156
C720  F0 06     BEQ                             A:00 X:04 Y:54 P:27 SP:F3 CYC:162
C728  C8        INY                             A:00 X:04 Y:54 P:27 SP:F3 CYC:171
C729  CA        DEX                             A:00 X:04 Y:55 P:25 SP:F3 CYC:177
C72A  D0 E0     BNE                             A:00 X:03 Y:55 P:25 SP:F3 CYC:183
C70C  68        PLA                             A:00 X:03 Y:55 P:25 SP:F3 CYC:192
C70D  C9 55     CMP #$55                        A:55 X:03 Y:55 P:25 SP:F4 CYC:204
C70F  F0 0A     BEQ                             A:55 X:03 Y:55 P:27 SP:F4 CYC:210
C71B  68        PLA                             A:55 X:03 Y:55 P:27 SP:F4 CYC:219
C71C  29 CB     AND #$CB                        A:24 X:03 Y:55 P:25 SP:F5 CYC:231
C71E  C9 00     CMP #$00                        A:00 X:03 Y:55 P:27 SP:F5 CYC:237
C720  F0 06     BEQ                             A:00 X:03 Y:55 P:27 SP:F5 CYC:243
C728  C8        INY                             A:00 X:03 Y:55 P:27 SP:F5 CYC:252
C729  CA        DEX                             A:00 X:03 Y:56 P:25 SP:F5 CYC:258
C72A  D0 E0     BNE                             A:00 X:02 Y:56 P:25 SP:F5 CYC:264
C70C  68        PLA                             A:00 X:02 Y:56 P:25 SP:F5 CYC:273
C70D  C9 55     CMP #$55                        A:55 X:02 Y:56 P:25 SP:F6 CYC:285
C70F  F0 0A     BEQ                             A:55 X:02 Y:56 P:27 SP:F6 CYC:291
C71B  68        PLA                             A:55 X:02 Y:56 P:27 SP:F6 CYC:300
C71C  29 CB     AND #$CB                        A:24 X:02 Y:56 P:25 SP:F7 CYC:312
C71E  C9 00     CMP #$00                        A:00 X:02 Y:56 P:27 SP:F7 CYC:318
C720  F0 06     BEQ                             A:00 X:02 Y:56 P:27 SP:F7 CYC:324
C728  C8        INY                             A:00 X:02 Y:56 P:27 SP:F7 CYC:333
C729  CA        DEX                             A:00 X:02 Y:57 P:25 SP:F7 CYC:339
C72A  D0 E0     BNE                             A:00 X:01 Y:57 P:25 SP:F7 CYC:  4
C70C  68        PLA                             A:00 X:01 Y:57 P:25 SP:F7 CYC: 13
C70D  C9 55     CMP #$55                        A:55 X:01 Y:57 P:25 SP:F8 CYC: 25
C70F  F0 0A     BEQ                             A:55 X:01 Y:57 P:27 SP:F8 CYC: 31
C71B  68        PLA                             A:55 X:01 Y:57 P:27 SP:F8 CYC: 40
C71C  29 CB     AND #$CB                        A:24 X:01 Y:57 P:25 SP:F9 CYC: 52
C71E  C9 00     CMP #$00                        A:00 X:01 Y:57 P:27 SP:F9 CYC: 58
C720  F0 06     BEQ                             A:00 X:01 Y:57 P:27 SP:F9 CYC: 64
C728  C8        INY                             A:00 X:01 Y:57 P:27 SP:F9 CYC: 73
C729  CA        DEX                             A:00 X:01 Y:58 P:25 SP:F9 CYC: 79
C72A  D0 E0     BNE                             A:00 X:00 Y:58 P:27 SP:F9 CYC: 85
C72C  60 EA     RTS                             A:00 X:00 Y:58 P:27 SP:F9 CYC: 91
C6AF  60 A9     RTS                             A:00 X:00 Y:58 P:27 SP:FB CYC:109
C632  20 1E     JSR $E51E                       A:00 X:00 Y:58 P:27 SP:FD CYC:127
E51E  A9 55     LDA #$55                        A:00 X:00 Y:58 P:27 SP:FB CYC:145
E520  8D 80 05  STA $0580 = 00                  A:55 X:00 Y:58 P:25 SP:FB CYC:151
E523  A9 AA     LDA #$AA                        A:55 X:00 Y:58 P:25 SP:FB CYC:163
E525  8D 32 04  STA $0432 = 00                  A:AA X:00 Y:58 P:A5 SP:FB CYC:169
E528  A9 80     LDA #$80                        A:AA X:00 Y:58 P:A5 SP:FB CYC:181
E52A  85 43     STA $43 = 00                    A:80 X:00 Y:58 P:A5 SP:FB CYC:187
E52C  A9 05     LDA #$05                        A:80 X:00 Y:58 P:A5 SP:FB CYC:196
E52E  85 44     STA $44 = 00                    A:05 X:00 Y:58 P:25 SP:FB CYC:202
E530  A9 32     LDA #$32                        A:05 X:00 Y:58 P:25 SP:FB CYC:211
E532  85 45     STA $45 = 00                    A:32 X:00 Y:58 P:25 SP:FB CYC:217
E534  A9 04     LDA #$04                        A:32 X:00 Y:58 P:25 SP:FB CYC:226
E536  85 46     STA $46 = 00                    A:04 X:00 Y:58 P:25 SP:FB CYC:232
E538  A2 03     LDX #$03                        A:04 X:00 Y:58 P:25 SP:FB CYC:241
E53A  A0 77     LDY #$77                        A:04 X:03 Y:58 P:25 SP:FB CYC:247
E53C  A9 FF     LDA #$FF                        A:04 X:03 Y:77 P:25 SP:FB CYC:253
E53E  85 01     STA $01 = FF                    A:FF X:03 Y:77 P:A5 SP:FB CYC:259
E540  24 01     BIT $01 = FF                    A:FF X:03 Y:77 P:A5 SP:FB CYC:268
E542  38        SEC                             A:FF X:03 Y:77 P:E5 SP:FB CYC:277
E543  A9 00     LDA #$00                        A:FF X:03 Y:77 P:E5 SP:FB CYC:283
E545  A3 40    *LAX $(40,X)                     A:00 X:03 Y:77 P:67 SP:FB CYC:289
E547  EA        NOP                             A:55 X:55 Y:77 P:65 SP:FB CYC:307
E548  EA        NOP                             A:55 X:55 Y:77 P:65 SP:FB CYC:313
E549  EA        NOP                             A:55 X:55 Y:77 P:65 SP:FB CYC:319
E54A  EA        NOP                             A:55 X:55 Y:77 P:65 SP:FB CYC:325
E54B  F0 12     BEQ                             A:55 X:55 Y:77 P:65 SP:FB CYC:331
E54D  30 10     BMI                             A:55 X:55 Y:77 P:65 SP:FB CYC:337
E54F  50 0E     BVC                             A:55 X:55 Y:77 P:65 SP:FB CYC:  2
E551  90 0C     BCC                             A:55 X:55 Y:77 P:65 SP:FB CYC:  8
E553  C9 55     CMP #$55                        A:55 X:55 Y:77 P:65 SP:FB CYC: 14
E555  D0 08     BNE                             A:55 X:55 Y:77 P:67 SP:FB CYC: 20
E557  E0 55     CPX #$55                        A:55 X:55 Y:77 P:67 SP:FB CYC: 26
E559  D0 04     BNE                             A:55 X:55 Y:77 P:67 SP:FB CYC: 32
E55B  C0 77     CPY #$77                        A:55 X:55 Y:77 P:67 SP:FB CYC: 38
E55D  F0 04     BEQ                             A:55 X:55 Y:77 P:67 SP:FB CYC: 44
E563  A2 05     LDX #$05                        A:55 X:55 Y:77 P:67 SP:FB CYC: 53
E565  A0 33     LDY #$33                        A:55 X:05 Y:77 P:65 SP:FB CYC: 59
E567  B8        CLV                             A:55 X:05 Y:33 P:65 SP:FB CYC: 65
E568  18        CLC                             A:55 X:05 Y:33 P:25 SP:FB CYC: 71
E569  A9 00     LDA #$00                        A:55 X:05 Y:33 P:24 SP:FB CYC: 77
E56B  A3 40    *LAX $(40,X)                     A:00 X:05 Y:33 P:26 SP:FB CYC: 83
E56D  EA        NOP                             A:AA X:AA Y:33 P:A4 SP:FB CYC:101
E56E  EA        NOP                             A:AA X:AA Y:33 P:A4 SP:FB CYC:107
E56F  EA        NOP                             A:AA X:AA Y:33 P:A4 SP:FB CYC:113
E570  EA        NOP                             A:AA X:AA Y:33 P:A4 SP:FB CYC:119
E571  F0 12     BEQ                             A:AA X:AA Y:33 P:A4 SP:FB CYC:125
E573  10 10     BPL                             A:AA X:AA Y:33 P:A4 SP:FB CYC:131
E575  70 0E     BVS                             A:AA X:AA Y:33 P:A4 SP:FB CYC:137
E577  B0 0C     BCS                             A:AA X:AA Y:33 P:A4 SP:FB CYC:143
E579  C9 AA     CMP #$AA                        A:AA X:AA Y:33 P:A4 SP:FB CYC:149
E57B  D0 08     BNE                             A:AA X:AA Y:33 P:27 SP:FB CYC:155
E57D  E0 AA     CPX #$AA                        A:AA X:AA Y:33 P:27 SP:FB CYC:161
E57F  D0 04     BNE                             A:AA X:AA Y:33 P:27 SP:FB CYC:167
E581  C0 33     CPY #$33                        A:AA X:AA Y:33 P:27 SP:FB CYC:173
E583  F0 04     BEQ                             A:AA X:AA Y:33 P:27 SP:FB CYC:179
E589  A9 87     LDA #$87                        A:AA X:AA Y:33 P:27 SP:FB CYC:188
E58B  85 67     STA $67 = 00                    A:87 X:AA Y:33 P:A5 SP:FB CYC:194
E58D  A9 32     LDA #$32                        A:87 X:AA Y:33 P:A5 SP:FB CYC:203
E58F  85 68     STA $68 = 00                    A:32 X:AA Y:33 P:25 SP:FB CYC:209
E591  A0 57     LDY #$57                        A:32 X:AA Y:33 P:25 SP:FB CYC:218
E593  24 01     BIT $01 = FF                    A:32 X:AA Y:57 P:25 SP:FB CYC:224
E595  38        SEC                             A:32 X:AA Y:57 P:E5 SP:FB CYC:233
E596  A9 00     LDA #$00                        A:32 X:AA Y:57 P:E5 SP:FB CYC:239
E598  A7 67    *LAX $67                         A:00 X:AA Y:57 P:67 SP:FB CYC:245
E59A  EA        NOP                             A:87 X:87 Y:57 P:E5 SP:FB CYC:254
E59B  EA        NOP                             A:87 X:87 Y:57 P:E5 SP:FB CYC:260
E59C  EA        NOP                             A:87 X:87 Y:57 P:E5 SP:FB CYC:266
E59D  EA        NOP                             A:87 X:87 Y:57 P:E5 SP:FB CYC:272
E59E  F0 12     BEQ                             A:87 X:87 Y:57 P:E5 SP:FB CYC:278
E5A0  10 10     BPL                             A:87 X:87 Y:57 P:E5 SP:FB CYC:284
E5A2  50 0E     BVC                             A:87 X:87 Y:57 P:E5 SP:FB CYC:290
E5A4  90 0C     BCC                             A:87 X:87 Y:57 P:E5 SP:FB CYC:296
E5A6  C9 87     CMP #$87                        A:87 X:87 Y:57 P:E5 SP:FB CYC:302
E5A8  D0 08     BNE                             A:87 X:87 Y:57 P:67 SP:FB CYC:308
E5AA  E0 87     CPX #$87                        A:87 X:87 Y:57 P:67 SP:FB CYC:314
